RecordedAtTime,ItemIdentifier,BlockRef,ConfidenceLevel,DestinationAimedArrivalTime,DestinationName,DatedVehicleJourneyRef,LineRef,StopPointName,AimedArrivalTime,LatestExpectedArrivalTime,At_stop_Lat,At_stop_Lon,OperatorRef,VehicleLocation_Lat,VehicleLocation_Lon
2021-02-05 06:50:24,a6514358-097b-44c9-9b8a-7c22d887ddd2,39,1,2021-02-05 08:09:00,Marion,652931,W90,15A Wilpena Ave,2021-02-05 06:53:09,2021-02-05 06:52:55,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.89201,138.6408
2021-02-05 06:50:04,73f6642d-3d3a-4f05-acec-4dd409ba51cf,331,1,2021-02-05 07:10:00,City,649516,281,15A Wilpena Ave,2021-02-05 06:53:34,2021-02-05 06:53:15,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87662,138.6427
2021-02-04 22:36:16,f0f8fcf5-5bc5-4109-95db-912dca6be1a5,3327,4,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:34,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.88317674,138.63373344
2021-02-05 06:50:24,da26fd59-beed-4255-b30d-417cf0640e21,39,1,2021-02-05 08:09:00,Marion,652931,W90,15A Wilpena Ave,2021-02-05 06:53:09,2021-02-05 06:52:55,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.89201,138.6408
2021-02-05 06:50:04,ccc3e933-bd11-426c-a164-91e32d064b54,331,1,2021-02-05 07:10:00,City,649516,281,15A Wilpena Ave,2021-02-05 06:53:34,2021-02-05 06:53:15,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.87662,138.6427
2021-02-04 22:36:16,204e83a9-770b-4a34-b5b1-8d44bf75315e,3327,4,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:34,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.88317674,138.63373344
2021-02-04 22:36:16,805be809-ed2b-4eff-ab49-60b7a9cc8f1a,3327,4,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:34,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.88317674,138.63373344
2021-02-04 22:36:16,d9732cf5-c128-413f-8df9-7c22d06660a8,3327,4,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:34,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.88317674,138.63373344
2021-02-04 22:36:16,4af5a204-ca29-4fae-a0f9-1bfb3dfbac2e,3327,4,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:34,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.88317674,138.63373344
2021-02-05 06:55:40,1525450b-e82a-4d59-b6e4-40f0b749a429,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:07:51,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86847,138.6615
2021-02-05 06:56:55,563d2999-2e53-4849-b5c7-adaeab06c72a,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:24,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86733,138.6626
2021-02-05 06:56:55,a5b08cec-f0f7-4d78-aef9-bff39df39adc,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:24,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86733,138.6626
2021-02-05 06:59:15,2a48d81b-25aa-4c59-8dc9-7e4a8322f02b,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:56,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86181,138.6572
2021-02-05 06:59:15,5fc6d790-b77d-4086-939f-4e18a245668a,3327,1,2021-02-05 07:25:00,City,649492,281,15A Wilpena Ave,2021-02-05 07:08:34,2021-02-05 07:08:56,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.86181,138.6572
2021-02-05 06:55:46,7c4ee0f7-d717-4a82-b84f-1742011d6674,368,2,2021-02-05 07:40:00,City,649524,281,15A Wilpena Ave,2021-02-05 07:21:29,2021-02-05 07:19:55,-34.88317674,138.63373344,5 - Adelaide Metro (Torrens Transit),-34.88893,138.6428
